time_period,measure,sex,obs_value,ingested_on,last_obs_value,change_obs_value
2022-04-01,part-time,all,4118.22725579,2023-10-01,4107.0541555,11.173100289999638
2022-04-01,full-time,female,3603.60432169,2023-10-01,3634.40580398,-30.801482290000422
2022-04-01,full-time,male,5775.13706421,2023-10-01,5809.22898038,-34.09191617000033
2022-04-01,full-time,all,9378.7413859,2023-10-01,9443.63478436,-64.89339845999893
2022-04-01,part-time,male,1289.09627713,2023-10-01,1308.28582182,-19.18954468999982
2022-03-01,part-time,female,2842.96211095,2023-10-01,2829.13097866,13.831132289999914
2022-03-01,part-time,all,4165.59989082,2023-10-01,4118.22725579,47.37263503000031
2022-03-01,full-time,female,3571.26797555,2023-10-01,3603.60432169,-32.33634613999993
2022-03-01,full-time,male,5715.78957245,2023-10-01,5775.13706421,-59.347491759999684
2022-03-01,full-time,all,9287.057548,2023-10-01,9378.7413859,-91.68383790000007
2022-03-01,part-time,male,1322.63777987,2023-10-01,1289.09627713,33.54150273999994
2022-02-01,part-time,female,2856.50411466,2023-10-01,2842.96211095,13.542003710000245
2022-02-01,part-time,all,4169.27881815,2023-10-01,4165.59989082,3.6789273300000787
2022-02-01,full-time,female,3555.91586731,2023-10-01,3571.26797555,-15.35210823999978
2022-02-01,full-time,male,5703.72216719,2023-10-01,5715.78957245,-12.067405260000669
2022-02-01,full-time,all,9259.63803449,2023-10-01,9287.057548,-27.419513509999888
2022-02-01,part-time,male,1312.77470348,2023-10-01,1322.63777987,-9.86307639000006
2022-01-01,part-time,female,2870.25170966,2023-10-01,2856.50411466,13.74759499999982
2022-01-01,part-time,all,4195.77471835,2023-10-01,4169.27881815,26.495900199999596
2022-01-01,full-time,female,3501.51319119,2023-10-01,3555.91586731,-54.40267612000025
2022-01-01,full-time,male,5650.97495664,2023-10-01,5703.72216719,-52.74721055000009
2022-01-01,full-time,all,9152.48814783,2023-10-01,9259.63803449,-107.14988666000136
2022-01-01,part-time,male,1325.52300869,2023-10-01,1312.77470348,12.748305210000126
2021-12-01,part-time,female,2820.32666445,2023-10-01,2870.25170966,-49.92504521000001
2021-12-01,part-time,all,4166.82930724,2023-10-01,4195.77471835,-28.94541110999944
2021-12-01,full-time,female,3475.8748251,2023-10-01,3501.51319119,-25.638366089999636
2021-12-01,full-time,male,5647.28285802,2023-10-01,5650.97495664,-3.692098619999342
2021-12-01,full-time,all,9123.15768312,2023-10-01,9152.48814783,-29.330464709999433
2021-12-01,part-time,male,1346.50264278,2023-10-01,1325.52300869,20.97963408999999
2021-11-01,part-time,female,2799.94670714,2023-10-01,2820.32666445,-20.37995731000001
2021-11-01,part-time,all,4133.30800401,2023-10-01,4166.82930724,-33.52130322999983
2021-11-01,full-time,female,3461.38269149,2023-10-01,3475.8748251,-14.49213361000011
2021-11-01,full-time,male,5607.96790447,2023-10-01,5647.28285802,-39.31495355000061
